objectId,best_score,frac_scores,valid
ZTF18aaabauf,[None],[None],feature_quality_failed
ZTF18aacajqc,[None],[None],feature_quality_failed
ZTF18aaiiwwc,[None],[None],not_required_filters
ZTF18aajpicg,[None],[None],feature_quality_failed
ZTF18aalrxja,[None],[None],feature_quality_failed
ZTF18aalvkey,[None],[None],feature_quality_failed
ZTF18aauylsc,[None],[None],feature_quality_failed
ZTF18aaxejis,[None],[None],feature_quality_failed
ZTF18aazqhzb,[None],[None],feature_quality_failed
ZTF18abtfqdy,[None],[None],feature_quality_failed
ZTF19acmvwve,[None],[None],feature_quality_failed
